ID,Age,Acceleration,Aggression,Agility,Balance,BallControl,Composure,Crossing,Dribbling,Finishing,Tackle,Overall
0,32,89,63,89,63,93,95,85,91,94,,94
3,30,88,78,86,60,91,83,77,86,94,,92
5,28,79,80,78,80,89,87,62,85,91,,91
9,29,78,50,75,69,85,86,68,84,91,,90
13,28,88,80,90,87,87,86,80,90,85,,89
16,29,90,63,86,91,89,90,70,89,90,,89
19,23,88,48,91,85,93,84,80,92,85,,88
21,26,87,69,90,80,86,86,82,87,88,,88
23,28,95,43,77,70,82,84,77,82,88,,88
31,35,63,84,81,41,88,91,76,82,87,,88
38,30,75,84,81,59,80,83,70,80,83,,87
46,23,68,74,73,62,82,84,70,78,90,,86
50,24,76,72,62,47,75,84,68,77,89,,86
52,27,76,57,76,72,82,83,77,75,87,,86
55,28,86,49,86,81,85,83,80,86,86,,86
58,28,74,93,58,52,83,84,65,77,88,,86
61,30,93,59,94,92,88,81,77,89,85,,86
64,29,77,65,77,60,86,82,75,82,87,,86
73,26,84,70,87,84,84,86,64,85,87,,85
74,,,,,,,,,,,,
100,24,75,55,74,76,77,82,46,74,89,,84
101,24,78,54,62,56,84,79,73,83,82,,84
113,31,67,51,57,36,80,79,63,76,87,,84
121,31,73,75,85,75,82,87,55,74,87,,84
122,,,,,,,,,,,,
123,,,,,,,,,,,,
125,29,94,56,92,94,87,84,82,89,78,,84
126,36,69,82,53,57,80,87,54,79,85,,84
127,18,89,62,78,76,87,80,70,86,87,,83
138,23,80,83,79,75,78,78,42,78,88,,83
145,25,77,66,82,81,85,78,72,87,83,,83
153,29,84,63,88,77,84,73,67,85,86,,83
160,28,54,72,38,35,73,78,38,64,87,,83
168,30,88,75,92,93,87,88,73,86,83,,83
170,31,68,88,67,53,77,80,72,74,84,,83
177,33,66,61,77,69,88,87,70,84,87,,83
178,30,88,66,82,77,80,85,70,76,86,,83
202,29,66,86,64,55,75,79,58,74,80,,82
203,23,79,69,84,91,86,85,73,86,78,,82
205,22,93,54,82,77,89,79,75,87,79,,82
208,21,92,63,79,76,82,70,69,81,86,,82
212,25,86,60,87,78,82,78,75,83,82,,82
216,30,76,62,76,77,81,80,60,79,87,,82
235,24,87,60,79,77,82,78,75,85,83,,82
240,25,65,65,60,50,80,73,54,79,84,,82
246,27,77,77,77,63,79,81,55,77,86,,82
255,26,77,70,70,50,85,79,68,81,84,,82
262,29,74,63,75,76,86,86,81,82,86,,82
269,30,51,76,59,52,82,78,64,72,83,,82
271,29,84,59,81,83,79,81,62,76,87,,82
278,27,74,60,75,64,81,81,62,80,83,,82
280,28,87,57,86,79,81,79,80,82,81,,82
292,31,68,72,63,53,75,85,62,74,84,,82
293,32,77,66,84,83,87,79,73,87,81,,82
296,35,72,67,75,75,85,83,71,83,86,,82
299,20,89,56,93,92,85,84,66,87,83,,81
305,26,78,73,79,77,84,77,70,86,82,,81
307,23,92,66,78,43,81,71,78,82,78,,81
316,30,91,92,78,77,76,79,63,76,83,,81
322,26,79,85,77,69,80,68,52,76,82,,81
329,26,84,55,91,86,83,82,73,85,84,,81
330,28,80,67,74,75,82,76,74,81,83,,81
332,26,86,62,80,69,82,73,74,80,81,,81
359,29,69,70,69,58,79,78,60,74,85,,81
361,26,70,63,69,48,80,78,58,73,79,,81
364,29,53,83,50,34,78,80,60,75,82,,81
367,27,75,50,80,69,88,80,72,85,80,,81
378,30,79,61,85,79,83,78,74,89,75,,81
380,31,74,80,66,59,73,80,72,75,86,,81
387,31,67,81,71,77,80,88,78,73,80,,81
390,33,74,62,74,54,81,69,68,82,77,,81
391,36,73,75,78,74,78,84,69,80,85,,81
392,19,93,67,90,78,79,74,72,83,79,,80
414,24,77,38,78,67,81,71,69,80,79,,80
417,23,77,61,78,78,77,81,65,76,83,,80
422,27,78,65,91,77,80,78,75,76,82,,80
425,24,78,75,73,84,81,80,78,79,80,,80
429,26,87,50,86,77,85,70,60,86,80,,80
435,27,63,66,68,66,80,67,70,74,83,,80
440,26,84,66,77,76,79,75,76,81,80,,80
449,27,82,75,86,76,78,70,73,83,74,,80
451,27,73,74,69,48,78,76,48,75,77,,80
457,27,89,67,75,66,78,73,56,77,82,,80
458,26,83,75,82,63,78,76,69,80,75,,80
466,30,86,60,81,80,85,78,72,83,81,,80
472,30,74,61,71,71,77,75,56,72,82,,80
476,30,73,82,77,68,83,80,75,79,75,,80
494,28,92,65,83,79,78,78,74,81,77,,80
497,32,53,83,65,59,76,79,65,72,85,,80
499,31,69,35,77,78,85,79,69,87,83,,80
502,32,79,70,69,72,78,79,75,78,82,,80
516,34,77,63,83,88,77,84,54,78,87,,80
521,26,82,90,74,77,77,79,52,74,80,,79
523,24,79,83,78,69,76,86,62,73,79,,79
534,22,85,41,87,83,85,71,64,87,82,,79
553,23,76,66,78,88,85,71,66,86,82,,79
561,23,70,67,68,63,76,72,58,71,86,,79
568,26,80,76,64,61,81,72,45,80,75,,79
575,25,84,68,87,87,80,76,68,84,80,,79
587,23,72,59,76,78,79,69,53,72,81,,79
590,26,76,60,65,64,80,83,68,78,79,,79
594,25,74,57,73,56,82,71,70,80,82,,79
614,28,63,68,67,71,75,77,45,72,80,,79
617,28,72,79,59,53,78,75,61,72,80,,79
618,27,76,52,74,76,79,78,69,79,80,,79
620,29,90,62,70,70,77,80,46,79,77,,79
631,29,53,88,53,50,74,72,49,65,83,,79
644,26,78,30,84,85,78,74,68,77,70,,79
647,27,76,78,86,81,79,74,77,78,73,,79
659,28,87,53,88,90,83,76,73,79,78,,79
663,31,77,62,72,68,82,77,71,72,81,,79
671,31,66,52,59,58,78,82,61,72,80,,79
679,31,62,78,67,60,75,69,50,71,80,,79
684,33,76,72,77,82,77,76,57,78,81,,79
695,21,75,76,77,72,78,70,59,77,75,,78
696,19,73,44,75,70,79,80,42,76,78,,78
704,28,74,67,69,69,76,71,66,71,80,,78
714,21,79,32,81,75,83,76,67,82,80,,78
719,24,91,40,91,85,80,77,73,83,65,,78
723,26,69,58,64,58,76,73,44,72,81,,78
724,27,78,64,76,66,73,74,61,74,80,,78
727,22,82,69,75,61,75,70,69,77,79,,78
755,23,87,69,79,83,80,72,67,76,77,,78
757,26,75,80,76,51,77,74,69,74,75,,78
758,26,56,74,63,55,79,80,57,73,79,,78
760,22,86,50,83,65,82,70,67,84,70,,78
778,26,66,77,63,58,72,79,58,67,82,,78
785,25,65,75,65,58,83,78,67,76,79,,78
787,25,77,77,75,63,79,77,57,80,74,,78
791,26,89,52,81,68,78,69,72,80,74,,78
792,26,79,80,79,73,74,76,65,75,82,,78
798,32,66,77,76,74,83,82,73,78,80,,78
799,27,64,67,65,55,74,78,56,66,82,,78
802,34,77,57,82,79,80,79,66,76,77,,78
808,31,71,69,79,65,75,76,71,75,79,,78
809,23,87,69,79,83,80,72,67,76,77,,78
817,35,71,53,71,75,83,80,84,85,74,,78
824,28,74,67,69,69,76,71,66,71,80,,78
827,22,82,69,75,61,75,70,69,77,79,,78
829,33,66,64,69,59,81,79,77,81,76,,78
836,25,77,77,75,63,79,77,57,80,74,,78
850,35,79,79,78,83,84,80,70,82,80,,78
858,25,65,75,65,58,83,78,67,76,79,,78
859,24,57,61,62,39,80,70,51,69,78,,78
860,32,82,73,75,66,79,80,80,78,75,,78
866,30,77,65,71,72,80,75,60,72,83,,78
867,35,57,58,67,60,78,81,55,69,83,,78
868,26,89,52,81,68,78,69,72,80,74,,78
